id,nombre_aplicacion,numero_grupo,motor_id
1,BEDFORD 200 DIESEL *4CIL* 98.4mm,4,23
2,BEDFORD 300 DIESEL *4CIL* 98.4mm,4,23
3,BEDFORD 350 DIESEL *4CIL* 106.3mm,4,23
4,BORGWARD VM HR492 *4CIL* 92mm,4,25
5,CATERPILAR 3056 (PERKINS ) DIESEL *6CIL* 100mm,6,24
6,CATERPILLAR 3024 MINICARGADOR (PERKINS),4,24
7,CATERPILLAR 3064 DIESEL*4CIL*102mm,7,24
8,CATERPILLAR 3066 *6CIL* 102mm,7,24
9,CATERPILLAR 3066 DIESEL (MITSUBISHI)*6CIL,8,24
10,CATERPILLAR 3114 *4CIL* 105mm,8,24
11,CATERPILLAR 3116 *6CIL* 105mm,8,24
12,CATERPILLAR 3126 DIESEL( 962G)*6CIL*110mm,8,24
13,CATERPILLAR 3204 (910)*4CIL* 114.3mm,8,24
14,CATERPILLAR 3208 *8CIL-V* 114.3mm,8,24
15,CATERPILLAR 3304 ASP.NOR.INY.IND.P38*4CIL*120.6mm,10,24
16,CATERPILLAR 3304 TURBO INY.DIR.P43*4CIL*120.6mm,10,24
17,CATERPILLAR 3306 ASP.NOR.INY.IND.P38*6CIL*120.6mm,10,24
18,CATERPILLAR 3306 TURBO INY.DIR.P43*6CIL*120.6mm,10,24
19,CATERPILLAR 333 *6CIL* 114.3mm,8,24
20,CATERPILLAR 3404 *4CIL* 137.2mm,11,24
21,CATERPILLAR 3406 TURBO DIESEL*6CIL*137.2 mm,11,24
22,CATERPILLAR 3408 DIESEL*8CIL-V*137.2 mm,12,24
23,CATERPILLAR 3412 *12CIL-V* 137.2mm,12,24
24,CATERPILLAR 399 *12CIL-V* 158.76mm,13,24
25,CATERPILLAR 416 C (PERKINS 3054)*4CIL* 100mm,6,24
26,CATERPILLAR 924 (PERKINS 3056E) DIESEL*6CIL*100mm,6,24
27,CATERPILLAR C-11 DIESEL (1332)*6CIL*130.30mm,10,24
28,CATERPILLAR C-13 DIESEL *6CIL*130.30mm,10,24
29,CATERPILLAR C-15 DIESEL (65B-1693)*6CIL*145mm,12,24
30,CATERPILLAR C-18 DIESEL *6CIL*145mm,12,24
31,CATERPILLAR C-6.4 DIESEL 6400cc*6CIL*102mm,7,24
32,CATERPILLAR C-7 DIESEL( 3126B)*6CIL*110mm,8,24
33,CATERPILLAR C-9 DIESEL*6CIL*112mm,8,24
34,CATERPILLAR D343 *6CIL* 137.2mm,12,24
35,CATERPILLAR D353  *6CIL* 158.76mm,13,24
36,CATERPILLAR D399 DIESEL*12CIL-V*158.76mm,13,24
37,CATERPILLAR D7 17A *4CIL* 146.06mm,13,24
38,CATERPILLAR D8 (342) *6CIL* 146.06mm,13,24
39,CHEROKEE VM TURBO DIESEL *4CIL*92MM,4,26
40,CHEVETTE 1.6 NAF. 8 VAL*4CIL* 82mm.,2,27
41,CHEVROLET 230-250 NAF.*6CIL* 98.4mm,2,28
42,CHEVROLET ASTRA - VECTRA 2.0 TURBO DIESEL INY.16 VAL.*4CIL* 84mm,3,28
43,CHEVROLET ASTRA - ZAFIRA 2. MPI NAF 8V,3,28
44,CHEVROLET AVEO F14/D*F14/N 1.4 16 VAL*4CIL*77.9mm,3,28
45,CHEVROLET AVEO-DAEWO F16D 1.6,3,28
46,CHEVROLET C10 TURBO DIESEL (XD3) *4CIL* 94mm,3,28
47,CHEVROLET CAPTIVA (HYUNDAI D4EA) TDIESEL 16VAL,3,28
48,CHEVROLET CORSA 1.0 -SUZUKI FUN  EFI  NAF.*4CIL* 71.08mm,2,28
49,CHEVROLET CORSA 1.4 AGILE-ASTRA  NAF.8 V *4CIL* 77.6mm,2,28
50,CHEVROLET CORSA 1.6 NAF. 8 VAL.*4CIL* 79mm,2,28
51,CHEVROLET CORSA 1.6 NAF.16 VAL.*4CIL* 79mm,3,28
52,CHEVROLET MERIVA 1.7 TD *16VAL*4CIL*79mm,3,28
53,CHEVROLET MERIVA 1.8 16V -CORS F/2  NAF.INY,3,28
54,CHEVROLET MERIVA 1.8 8V -SIENA  NAF. INY.*4CIL* 80.50mm,2,28
55,CHEVROLET MONZA 2.0 *NAF*8VAL*4CIL*86mm,3,28
56,CHEVROLET MONZA 2.0i *NAF*8VAL*4CIL*86mm,3,28
57,CHEVROLET VECTRA 1.8 NAF.8 VAL.*4CIL* 84.8mm,2,28
58,CHEVROLET VECTRA 2.0 -ASTRA ZAFIRA,3,28
59,CHEVROLET VECTRA- X24SE 2.4,4,28
60,CHEVROLET VECTRA-ASTRA 1.7 TURBO DIESEL*4CIL* 82.mm,3,28
61,CHEVROLET VECTRA-BLAZER 2.2 NAF.INY 16 VAL*4CIL*86mm,3,28
62,CHEVROLET VECTRA-BLAZER 2.2 NAF.INY 8 VAL*4CIL*86mm,3,28
63,CHEVROLET VERANEIO NAF.*6CIL* 98.46mm,2,28
64,CHRYSLER NEON 2.0 NAF.16VAL. INY.*4CIL*87.5mm,2,29
65,CIMARRON 3800cc *4CIL* 106.3mm,4,30
66,CITROEN BERLINGO 1.6 HDi TD 8VAL*4CIL*75mm,3,31
67,CITROEN C3 - C4 1.6 NAF (TU5JP4) 16V*4CIL,3,31
68,CITROEN C3 NAF. (TU3) 1.4 *4CIL*75mm,2,31
69,"CITROEN C3 TDCI 1.4 TURBO DIESEL 8VAL.*4CIL* 73,7mm",3,31
70,CITROEN C3 XU5JP4 1.6 NAF.16 VAL.*4CIL* 78.5mm,3,31
71,CITROEN C4 - C5 HDI 2.0 DW10 TURBO DIESEL*4CIL* 85mm,3,31
72,CITROEN C4 EW10J4 2.0i NAF.16VAL.*4CIL*85mm,3,31
73,CUMMINS 4B DIESEL ASP.NOR.*4CIL* 102mm,7,32
74,CUMMINS 4BT DIESEL TURBO *4CIL* 102mm,7,32
75,CUMMINS 4BTA DIESEL TURBO *4CIL* 102mm,7,32
76,CUMMINS 4BTE ISB ELECTRONICO DIESEL*4CIL*102mm,8,32
77,CUMMINS 4QSB DIESEL 4.5 ELECTRONICO *4CIL*107mm,8,32
78,CUMMINS 6B DIESEL ASP.NOR *6CIL* 102mm,7,32
79,CUMMINS 6BT DIESEL TURBO *6CIL* 102mm,7,32
80,CUMMINS 6BTE ISB ELECTRONICO DIESEL*6CIL*102mm,8,32
81,CUMMINS 6CT DIESEL TURBO 8.3 *6CIL* 114mm,10,32
82,CUMMINS 6CTAA DIESEL TURBO 8.3 *6CIL* 114mm,10,32
83,CUMMINS 6CTE ISC ELECTRONICO DIESEL*6CIL*114mm,10,32
84,CUMMINS 6QSB DIESEL 5.9 ELECTRONICO*6CIL*102mm,8,32
85,CUMMINS 6QSB DIESEL 6.7 ELECTRONICO *6CIL*107mm,8,32
86,CUMMINS C155 DIESEL *6CIL.-V* 117.48mm,10,32
87,CUMMINS KT1150 DIESEL *6CIL* 158.75mm,13,32
88,CUMMINS KT6 DIESEL *6CIL* 158.75mm,13,32
89,CUMMINS NH220 DIESEL *6CIL* 130.17mm,12,32
90,CUMMINS NT855 DIESEL *6CIL* 139.70mm,12,32
91,CUMMINS V-785 DIESEL *8CIL-V* 139.70mm,12,32
92,CUMMINS V-903 DIESEL *8CIL-V* 139.70mm,12,32
93,"DAKOTA V-6 3.9 NAF *V-6CIL*99,31mm",4,33
94,DEUTZ 1114 DIESEL *2CIL* 115mm,8,34
95,DEUTZ 1114 DIESEL *3CIL* 115mm,8,34
96,DEUTZ 1114 DIESEL *4CIL* 115mm,8,34
97,DEUTZ 1114 DIESEL *6CIL* 115mm,8,34
98,DEUTZ 2114 DIESEL *2CIL* 120mm,8,34
99,DEUTZ 2114 DIESEL *3CIL* 120mm,8,34
100,DEUTZ 2114 DIESEL *4CIL* 120mm,8,34
101,DEUTZ 2114 DIESEL *6CIL* 120mm,8,34
102,DEUTZ 413 BF8L DIESEL *8CIL-V* 125mm,10,34
103,DEUTZ 413 F8L DIESEL *8CIL-V* 120mm,9,34
104,DEUTZ 514 DIESEL *2CIL* 110mm,7,34
105,DEUTZ 514 DIESEL *3CIL* 110mm,7,34
106,DEUTZ 514 DIESEL *4CIL* 110mm,7,34
107,DEUTZ 514 DIESEL *6CIL* 110mm,7,34
108,DEUTZ 912 DIESEL ASP.NOR *2CIL* 100mm,8,34
109,DEUTZ 912 DIESEL ASP.NOR *3CIL* 100mm,8,34
110,DEUTZ 912 DIESEL ASP.NOR *4CIL* 100mm,8,34
111,DEUTZ 912 DIESEL ASP.NOR *5CIL* 100mm,8,34
112,DEUTZ 912 DIESEL ASP.NOR *6CIL* 100mm,8,34
113,DEUTZ 913 DIESEL ASP.NOR *2CIL* 102mm,8,34
114,DEUTZ 913 DIESEL ASP.NOR *3CIL* 102mm,8,34
115,DEUTZ 913 DIESEL ASP.NOR *4CIL* 102mm,8,34
116,DEUTZ 913 DIESEL ASP.NOR *5CIL* 102mm,8,34
117,DEUTZ 913 DIESEL ASP.NOR *6CIL* 102mm,8,34
118,DEUTZ 913 DIESEL TURBO *4CIL* 102mm,8,34
119,DEUTZ 913 DIESEL TURBO *6CIL* 102mm,8,34
120,DEUTZ BF2M 2011 DIESEL REFRIG.ACEITE *2CIL*94mm,7,34
121,DEUTZ BF3M 2011 DIESEL REFRIG.ACEITE *3CIL*94mm,7,34
122,DEUTZ BF4M 1011F DIESEL *4CIL* 91mm,7,34
123,DEUTZ BF4M 2011 DIESEL REFRIG.ACEITE *4CIL*94mm,7,34
124,DI TELLA 1500-MAGNETTE NAF.*4CIL*73/76mm,1,35
125,DODGE 1500 NAF.*4CIL* 86.1mm,1,36
126,DODGE 1800 NAF *4CIL* 86.1mm,1,36
127,"DODGE GTX NAF.*8CIL-V* 3.91"" 99.31mm",5,36
128,FIAT 1100 NAF*4CIL* 68mm,1,2
129,FIAT 115.80-115.90 IMPORTADO DIESEL*6CIL*104mm,8,2
130,FIAT 1180 IMPORTADO DIESEL*6CIL* 103mm,8,2
131,FIAT 125 NAF.*4CIL* 80mm,1,2
132,FIAT 128 1300 NAF.*4CIL* 86mm,1,2
133,FIAT 128 1500-REGATA 85-S/EUROPA NAF.*4CIL* 86.4mm,1,2
134,FIAT 128-147 1100 NAF.*4CIL* 80mm,1,2
135,FIAT 1300 DIESEL 147-DUNA *4CIL* 76mm,2,2
136,FIAT 133 NAF.*4CIL* 65mm,1,2
137,FIAT 1380 IMPORTADO TURBO DIESEL*6CIL*103mm,8,2
138,FIAT 147 1050cc NAF.*4CIL* 76mm BRASIL,1,2
139,FIAT 150 E-20 IMPORTADO EUROCARGO TURBO DIESEL*6CIL*104mm,8,2
140,FIAT 150 IMPORTADO TURBO DIESEL(8060 IVECO)*6CIL*104mm,8,2
141,FIAT 1500 NAF.*4CIL* 77mm,1,2
142,FIAT 1580 IMPORTADO DIESEL*6CIL*115mm,8,2
143,FIAT 1580-1880 IMPORTADO TURBO DIESEL*6CIL*115mm,8,2
144,FIAT 160 E-23 IMPORTADO EUROCARGO TURBO DIESEL*6CIL*104mm,8,2
145,FIAT 1600 NAF.*4CIL* 78mm,1,2
146,FIAT 1700 DIESEL DUNA-DUCATO*4CIL* 82.6mm,3,2
147,FIAT 170E22 TECTOR (CUMMINS 6BTE) ELECTRONICO,7,2
148,FIAT 1900 DIESEL DUCATO*4CIL* 82.6mm,3,2
149,FIAT 400-500 DIESEL*3CIL* 110mm,7,2
150,FIAT 411-R DIESEL*4CIL* 85mm,4,2
151,FIAT 450 SOMECA DA50 DIESEL *4CIL*100mm,6,2
152,FIAT 540-640 IMPORTADO DIESEL*4CIL* 100mm,8,2
153,FIAT 55.90-60.90 IMPORTADO DIESEL*3CIL* 100mm,8,2
154,FIAT 619 N DIESEL*6CIL* 135mm,10,2
155,FIAT 619 N1-697 DIESEL*6CIL* 137mm,10,2
156,FIAT 650-700S DIESEL*4CIL* 108mm,6,2
157,FIAT 682 N2 DIESEL*6CIL* 125mm,8,2
158,FIAT 682 N3 DIESEL*6CIL* 130mm,8,2
159,FIAT 700E DIESEL*4CIL* 115mm,7,2
160,FIAT 750 NAF.*4CIL* 62mm,1,2
161,FIAT 780 DIESEL*4CIL* 125mm,8,2
162,FIAT 780 IMPORTADO DIESEL*4CIL* 103mm,8,2
163,FIAT 800 DIESEL C/BALANCEADOR *4CIL* 115mm,7,2
164,FIAT 880 IMPORTADO DIESEL*5CIL* 103mm,8,2
165,FIAT 980 IMPORTADO DIESEL*6CIL* 100mm,8,2
166,FIAT 980 IMPORTADO DIESEL*6CIL* 103mm,8,2
167,FIAT CP3 900-1100 TRACTOR DIESEL*6CIL* 110mm,7,2
168,FIAT CP3 900-1100 VEHICULAR DIESEL*6CIL* 110mm,7,2
169,FIAT DUCATO 2.5 RENAULT MASTER DIESEL*4CIL*93mm,5,2
170,FIAT DUCATO 2.8 RENAULT MASTER DIESEL*4CIL*94.4mm,5,2
171,FIAT DUCATO 2.8 RENAULT MASTER TURBO DIESEL*4CIL*94.4mm,5,2
172,FIAT FIRE 1000 NAF.16 VAL.*4CIL* 70mm,2,2
173,FIAT FIRE 1000 NAF.8 VAL.*4CIL* 70mm,2,2
174,FIAT FIRE 1300 NAF.16 VAL *4CIL* 70.8mm,2,2
175,FIAT FIRE 1300 NAF.8 VAL *4CIL* 70.8mm,2,2
176,FIAT FIRE 1400 INY NAF.8V *4CIL* 72mm,2,2
177,FIAT IVECO DAILY 40.8 DIESEL*4CIL* 93mm,5,2
178,FIAT IVECO DAILY 49.10 TURBO DIESEL*4CIL* 93mm,5,2
179,FIAT IVECO EUROTECH 380 DIESEL*6CIL*137mm,10,2
180,FIAT IVECO EUROTRAKER 420 DIESEL*6CIL*137mm,10,2
181,FIAT MAREA JTD STILO-BRAVA 1.9 TURBO DIESEL*4CIL* 82mm,2,2
182,FIAT PALIO-SIENA TURBO DIESEL*4CIL* 82.6mm,3,2
183,FIAT PALIO-SIENA-MAREA-1.6 MPI. NAF.16V*4CIL*86.4mm,2,2
