id,nombre_aplicacion,numero_grupo,motor_id
446,Atos,1,6
447,Accord 1.8 (85 x 81.5),2,5
448,Accors 2.0 (85 x 88),2,5
449,Accord 2.2i 16v (85 x 95),2,5
450,Accord V6,2,5
451,Accord 1.6 (74mm),2,5
452,Civic 1.5 (75 x 84.5),2,5
453,Civic 1.6 (75 x 90),2,5
454,Prelude 2.6 Si 16V Nafta (87.1 x 93.5),2,5
455,Accent - Excel/S 1.7 (75.5 x82),2,6
456,Sonata 2.4 (86.6 x 100),2,6
457,Sonata 3.0 (86 x 100),2,6
458,Electra 1.8,2,6
459,D4BF H-100 2500cc 4 cilindros (91.10 mm),3,6
460,Galloper Diesel Turbo 4 cilindros (91.10mm),3,6
461,H-250 TURBO H-350 4 cilindros (104mm),3,6
462,4 cilindros (TODOS 77 a 79mm),2,47
463,4 cilindros (TODOS 84 a 87mm),2,47
464,145T 1.8 Diesel (82.60 x 90) (Idem Fiat Siena T),2,47
465,Quatro-Coupe 2.3 (82.55 x 86.36),2,48
466,Quattro-Quantium Wagon-V8 Quattro (81.03 x 3.36),2,48
467,318IS 1.8 - 325i X (84.07 x 81),2,49
468,"535i - 735i (3260"")",3,49
469,750iL - 850i - 5.0 (87.04 x 74.98),4,49
470,"M3-M5 (3680"" x 84)",3,49
471,523i - 24V - 6 cilindros en línea 2.5,3,49
472,Kombi 1.3 75x75,1,7
473,Kombi 2.0 87x82,2,7
474,Rodeo 2.5 Nafta 92.7x95,3,7
475,Trooper 6VD1 3.2 Nafta 93.0x76.9,3,7
476,Mark 1.5 Turbo 85.85x85.85,3,7
477,Mark - Stylus 1.6 89.41x89.91,2,7
478,Impulse 2.0 Turbo 76.96x79,2,7
479,Impulse 2.3 87.88x81.50,2,7
480,4FA1 Diesel Autoelevador 4 cilindros 76mm,2,7
481,4EE1 Diesel 4 cilindros 79mm,2,7
482,4EE1 Diesel Turbo 4 Cilindros 79mm,2,7
483,C 201 Diesel 4 cilindros 83mm,2,7
484,4FB1 Diesel 4 cilindros 84mm,2,7
485,4FB1 Diesel Turbo 4 cilindros 84mm,2,7
486,4FC1 Diesel 4 cilindros 84mm,2,7
