codigo_articulo_proveedor,tipo_repuesto_id,valor,marca_id,fecha_costo,estado_id
3933-EN,1,487,2,2020-07-27,1
3294-A,1,1031,2,2020-07-27,1
3439-EB,1,1010,2,2020-07-27,1
3438-A,1,982,2,2020-07-27,1
4234-AN,1,535,2,2020-07-27,1
4235-EN,1,526,2,2020-07-27,1
3918-AC,1,688,2,2020-07-27,1
3919-ECB,1,807,2,2020-07-27,1
1567-ACP,1,1713,2,2020-07-27,1
1567-ECB,1,1737,2,2020-07-27,1
3199-EX,1,1505,2,2020-07-27,1
303-AC,1,312,2,2020-07-27,1
4082-A,1,354,2,2020-07-27,1
4083-EX,1,565,2,2020-07-27,1
4408-AX,1,627,2,2020-07-27,1
3483-EB,1,1038,2,2020-07-27,1
3484-A,1,338,2,2020-07-27,1
3485-EB,1,522,2,2020-07-27,1
3482-AB,1,1064,2,2020-07-27,1
3973-EX,1,996,2,2020-07-27,1
3489-EC,1,474,2,2020-07-27,1
3583-EC,1,536,2,2020-07-27,1
3488-AS,1,379,2,2020-07-27,1
3786-A,1,431,2,2020-07-27,1
3787-EB,1,667,2,2020-07-27,1
1452-E,1,302,2,2020-07-27,1
452-A,1,286,2,2020-07-27,1
1453-E,1,325,2,2020-07-27,1
453-A,1,318,2,2020-07-27,1
1305-ECP,1,426,2,2020-07-27,1
4220-A,1,605,2,2020-07-27,1
4221-ECB,1,612,2,2020-07-27,1
3313-A,1,444,2,2020-07-27,1
4104-A,1,569,2,2020-07-27,1
4105-EB,1,657,2,2020-07-27,1
3602-A,1,382,2,2020-07-27,1
1303-EC,1,394,2,2020-07-27,1
1815-EGX,1,811,2,2020-07-27,1
815-AC,1,331,2,2020-07-27,1
1422-EGX,1,1345,2,2020-07-27,1
422-AC,1,447,2,2020-07-27,1
1815-E,1,503,2,2020-07-27,1
1422-EB,1,373,2,2020-07-27,1
3508-A,1,501,2,2020-07-27,1
3512-A,1,415,2,2020-07-27,1
3513-EB,1,499,2,2020-07-27,1
3869-EB,1,360,2,2020-07-27,1
3870-A,1,326,2,2020-07-27,1
3868-A,1,307,2,2020-07-27,1
3312-A,1,368,2,2020-07-27,1
3886-A,1,335,2,2020-07-27,1
3887-EB,1,392,2,2020-07-27,1
3310-A,1,859,2,2020-07-27,1
3238-A,1,357,2,2020-07-27,1
23238-E,1,677,2,2020-07-27,1
1825-E,1,416,2,2020-07-27,1
825-A,1,414,2,2020-07-27,1
4466-AC,1,469,2,2020-07-27,1
4467-ECB,1,664,2,2020-07-27,1
3196-A,1,352,2,2020-07-27,1
3197-EB,1,536,2,2020-07-27,1
3193-EBS,1,611,2,2020-07-27,1
