codigo_articulo_proveedor,tipo_repuesto_id,valor,marca_id,fecha_costo,estado_id
TC-789-MG,38,3296,4,2020-07-23,1
TC-790-MG,38,4380,4,2020-07-23,1
TC-761-07,38,3079,4,2020-07-23,1
TC-470-07,38,1496,4,2020-07-23,1
TC-113-09,38,3209,4,2020-07-23,1
TC-114-09,38,3903,4,2020-07-23,1
TC-114-11,38,4141,4,2020-07-23,1
TC-566-20,38,7480,4,2020-07-23,1
TC-507-06,38,3209,4,2020-07-23,1
TC-508-06,38,3621,4,2020-07-23,1
TC-519-06,38,2016,4,2020-07-23,1
TC-556-07,38,3621,4,2020-07-23,1
TC-503-20 0M,38,889,4,2020-07-23,1
TC-503-20 2M,38,889,4,2020-07-23,1
TC-503-20 1M,38,889,4,2020-07-23,1
TC-410-02,38,2472,4,2020-07-23,1
TC-932-20,38,1192,4,2020-07-23,1
TC-932-MG,38,1778,4,2020-07-23,1
TC-125-15,38,846,4,2020-07-23,1
TC-125-18,38,1431,4,2020-07-23,1
TC-146-15,38,1713,4,2020-07-23,1
TC-147-05,38,3556,4,2020-07-23,1
TC-152-05,38,3556,4,2020-07-23,1
TC-154-05,38,3556,4,2020-07-23,1
TC-155-05,38,3556,4,2020-07-23,1
TC-156-15,38,1214,4,2020-07-23,1
TC-157-09,38,3903,4,2020-07-23,1
TC-157-11,38,4141,4,2020-07-23,1
TC-158-09,38,2645,4,2020-07-23,1
TC-158-11,38,3361,4,2020-07-23,1
TC-160-15,38,1236,4,2020-07-23,1
TC-165-15,38,1236,4,2020-07-23,1
TC-165-MG,38,2168,4,2020-07-23,1
TC-411-07,38,6288,4,2020-07-23,1
TC-424-15,38,1951,4,2020-07-23,1
TC-457-15,38,867,4,2020-07-23,1
TC-461-15,38,3556,4,2020-07-23,1
TC-491-07,38,1496,4,2020-07-23,1
TC-491-15,38,1561,4,2020-07-23,1
TC-512-20 0M,38,1821,4,2020-07-23,1
