codigo_articulo_proveedor,tipo_repuesto_id,valor,marca_id,fecha_costo,estado_id
1001-AC,1,445,2,2020-08-08,1
1003-ASN,1,732,2,2020-08-08,1
1005-ASN,1,680,2,2020-08-08,1
1007-A,1,580,2,2020-08-08,1
1010-A,1,290,2,2020-08-08,1
101-A 0.8,1,526,2,2020-08-08,1
103-A 0.4,1,873,2,2020-08-08,1
103-A 0.8,1,873,2,2020-08-08,1
103-A STD,1,873,2,2020-08-08,1
116-A,1,832,2,2020-08-08,1
1201-AN,1,577,2,2020-08-08,1
135-A,1,356,2,2020-08-08,1
1374-AC,1,1228,2,2020-08-08,1
1374-ACB 20,1,1092,2,2020-08-08,1
137-A+10,1,394,2,2020-08-08,1
137-A+15,1,594,2,2020-08-08,1
137-A+3,1,594,2,2020-08-08,1
137-AC,1,259,2,2020-08-08,1
137-AC+30,1,356,2,2020-08-08,1
137-AC+5,1,290,2,2020-08-08,1
1448-AP,1,709,2,2020-08-08,1
1498-ACP STD,1,1247,2,2020-08-08,1
1556-ACB 0.4,1,625,2,2020-08-08,1
1556-ACB 0.8,1,625,2,2020-08-08,1
1556-ACB 30 0.4,1,680,2,2020-08-08,1
1556-ACB 30 0.8,1,680,2,2020-08-08,1
1556-ACB 30 STD,1,680,2,2020-08-08,1
1556-ACB STD,1,625,2,2020-08-08,1
1557-ACB,1,559,2,2020-08-08,1
1557-ACB 30 0.4,1,689,2,2020-08-08,1
1557-ACB 30 0.8,1,689,2,2020-08-08,1
1557-ACB 30 STD,1,689,2,2020-08-08,1
1557-ACB C/O,1,549,2,2020-08-08,1
1567-ACP,1,1713,2,2020-08-08,1
1569-APS,1,2144,2,2020-08-08,1
1571-ABS,1,3954,2,2020-08-08,1
1573-ABS,1,1832,2,2020-08-08,1
157-A,1,516,2,2020-08-08,1
1646-ACS,1,684,2,2020-08-08,1
1645-ACS,1,760,2,2020-08-08,1
1647-AB,1,835,2,2020-08-08,1
1651-ACS,1,476,2,2020-08-08,1
167-A,1,294,2,2020-08-08,1
169-A,1,639,2,2020-08-08,1
172-A,1,604,2,2020-08-08,1
174-A,1,593,2,2020-08-08,1
175-AC,1,257,2,2020-08-08,1
176-AC,1,356,2,2020-08-08,1
1826-AC,1,360,2,2020-08-08,1
1828-AC,1,318,2,2020-08-08,1
1838-ACB 30,1,1741,2,2020-08-08,1
1839-ACB 0.4,1,1608,2,2020-08-08,1
1839-ACB STD,1,1098,2,2020-08-08,1
183-AE,1,3089,2,2020-08-08,1
1842-ACB,1,2476,2,2020-08-08,1
185-AE,1,2056,2,2020-08-08,1
191-A,1,574,2,2020-08-08,1
193-A+10,1,281,2,2020-08-08,1
193-A+20,1,575,2,2020-08-08,1
193-A+3,1,266,2,2020-08-08,1
193-A+30,1,739,2,2020-08-08,1
193-AC,1,249,2,2020-08-08,1
193-AC+15,1,281,2,2020-08-08,1
193-AC+5,1,266,2,2020-08-08,1
194-A,1,664,2,2020-08-08,1
194-A+10,1,412,2,2020-08-08,1
194-A+15,1,412,2,2020-08-08,1
194-A+5,1,732,2,2020-08-08,1
197-A,1,525,2,2020-08-08,1
197-A+10,1,812,2,2020-08-08,1
197-A+15,1,812,2,2020-08-08,1
197-A+30,1,921,2,2020-08-08,1
197-A+5,1,543,2,2020-08-08,1
20026-ACB30 0.4,1,773,2,2020-08-08,1
20026-ACB30 STD,1,773,2,2020-08-08,1
20226-ACB30 0.4,1,773,2,2020-08-08,1
20226-ACB30 STD,1,773,2,2020-08-08,1
20226-ACB45 0.4,1,780,2,2020-08-08,1
20226-ACB45 STD,1,780,2,2020-08-08,1
2026-AC 30 0.4,1,616,2,2020-08-08,1
2026-AC 30 0.8,1,616,2,2020-08-08,1
2026-AC 30 STD,1,616,2,2020-08-08,1
206-A,1,634,2,2020-08-08,1
217-A(USA),1,635,2,2020-08-08,1
224-AC 0.4,1,830,2,2020-08-08,1
224-AC 0.8,1,830,2,2020-08-08,1
224-AC STD,1,830,2,2020-08-08,1
226-AC 0.4,1,401,2,2020-08-08,1
226-AC 0.8,1,394,2,2020-08-08,1
226-AC STD,1,401,2,2020-08-08,1
229-AC 0.4,1,1179,2,2020-08-08,1
229-AC 0.8,1,1179,2,2020-08-08,1
229-AC STD,1,575,2,2020-08-08,1
23019-ACP,1,1506,2,2020-08-08,1
23029-ACB,1,897,2,2020-08-08,1
23209-AP,1,1542,2,2020-08-08,1
23229-ABS,1,1750,2,2020-08-08,1
23293-AP,1,497,2,2020-08-08,1
23394-ACB,1,1171,2,2020-08-08,1
244-A,1,770,2,2020-08-08,1
246-AC 0.4,1,747,2,2020-08-08,1
246-AC 0.8,1,747,2,2020-08-08,1
246-AC STD,1,747,2,2020-08-08,1
247-A 0.4,1,222,2,2020-08-08,1
247-A 0.8,1,222,2,2020-08-08,1
247-A C/P,1,222,2,2020-08-08,1
247-A STD,1,222,2,2020-08-08,1
249-AC 0.4,1,284,2,2020-08-08,1
249-AC 0.8,1,284,2,2020-08-08,1
249-AC STD,1,284,2,2020-08-08,1
249-AC+10 STD,1,589,2,2020-08-08,1
249-AC+15 STD,1,589,2,2020-08-08,1
250-AMF,1,304,2,2020-08-08,1
252-A STD,1,921,2,2020-08-08,1
256-A,1,591,2,2020-08-08,1
258-A,1,288,2,2020-08-08,1
260-A,1,865,2,2020-08-08,1
274-A,1,477,2,2020-08-08,1
274-A+10,1,330,2,2020-08-08,1
274-A+15,1,552,2,2020-08-08,1
274-A+30,1,691,2,2020-08-08,1
274-A+5,1,293,2,2020-08-08,1
280-A,1,359,2,2020-08-08,1
280-A+15,1,767,2,2020-08-08,1
280-A+30,1,644,2,2020-08-08,1
280-A+5,1,729,2,2020-08-08,1
281-AC,1,384,2,2020-08-08,1
282-AC,1,763,2,2020-08-08,1
286-AC 0.4,1,2286,2,2020-08-08,1
286-AC 0.8,1,2402,2,2020-08-08,1
286-AC STD,1,1715,2,2020-08-08,1
287-AC,1,620,2,2020-08-08,1
291-AC,1,342,2,2020-08-08,1
291-AC+10,1,719,2,2020-08-08,1
