codigo_articulo_proveedor,tipo_repuesto_id,valor,marca_id,fecha_costo,estado_id
1002-ECB,40,543,2,2020-08-08,1
1004-ESN,40,740,2,2020-08-08,1
1006-ESN,40,704,2,2020-08-08,1
1009-ESN,40,676,2,2020-08-08,1
1011-EN,40,337,2,2020-08-08,1
1104-EP 0.4,40,1048,2,2020-08-08,1
1104-EP 0.8,40,1048,2,2020-08-08,1
1104-EP STD,40,1048,2,2020-08-08,1
1109-E,40,610,2,2020-08-08,1
1117-E,40,1145,2,2020-08-08,1
1138-E+15,40,451,2,2020-08-08,1
1138-ECP,40,403,2,2020-08-08,1
1138-ECP+15,40,451,2,2020-08-08,1
1138-ECP+3,40,885,2,2020-08-08,1
1138-ECP+5,40,620,2,2020-08-08,1
1138-EP+10,40,413,2,2020-08-08,1
1138-EP+30,40,897,2,2020-08-08,1
1168-E,40,312,2,2020-08-08,1
1169-E,40,700,2,2020-08-08,1
1173-E,40,926,2,2020-08-08,1
1174-E,40,1039,2,2020-08-08,1
1175-EC,40,318,2,2020-08-08,1
1175-ECSS,40,856,2,2020-08-08,1
1177-EC,40,631,2,2020-08-08,1
1190-E,40,767,2,2020-08-08,1
1192-E+20,40,455,2,2020-08-08,1
1192-E+3,40,311,2,2020-08-08,1
1192-E+30,40,494,2,2020-08-08,1
1192-EG,40,309,2,2020-08-08,1
1192-EG+10,40,346,2,2020-08-08,1
1192-EG+15,40,346,2,2020-08-08,1
1192-EG+5,40,328,2,2020-08-08,1
1195-E,40,473,2,2020-08-08,1
1195-E+10,40,968,2,2020-08-08,1
1195-E+15,40,968,2,2020-08-08,1
1195-E+30,40,1085,2,2020-08-08,1
1195-E+5,40,935,2,2020-08-08,1
1202-ESN,40,668,2,2020-08-08,1
1207-E,40,848,2,2020-08-08,1
1218-E(USA),40,1157,2,2020-08-08,1
1225-ECP 0.4,40,1104,2,2020-08-08,1
1225-ECP 0.8,40,1104,2,2020-08-08,1
1225-ECP STD,40,1104,2,2020-08-08,1
1226-ECB 0.4,40,497,2,2020-08-08,1
1226-ECB 0.8,40,497,2,2020-08-08,1
1226-ECB STD,40,497,2,2020-08-08,1
1229-ECP 0.4,40,1054,2,2020-08-08,1
1229-ECP 0.8,40,1146,2,2020-08-08,1
1229-ECP STD,40,559,2,2020-08-08,1
1245-EC,40,1087,2,2020-08-08,1
1248-E 0.4,40,305,2,2020-08-08,1
1248-E 0.8,40,305,2,2020-08-08,1
1248-E STD,40,305,2,2020-08-08,1
1249-ECP 0.4,40,413,2,2020-08-08,1
1249-ECP 0.8,40,413,2,2020-08-08,1
1249-ECP STD,40,413,2,2020-08-08,1
1249-ECP+10 STD,40,526,2,2020-08-08,1
1249-ECP+15 STD,40,975,2,2020-08-08,1
1251-EPMF,40,353,2,2020-08-08,1
1253-E 0.4,40,1183,2,2020-08-08,1
1253-E 0.8,40,1183,2,2020-08-08,1
1253-E STD,40,1183,2,2020-08-08,1
1257-E,40,647,2,2020-08-08,1
1261-ECP,40,938,2,2020-08-08,1
1275-E,40,691,2,2020-08-08,1
1275-E+10,40,812,2,2020-08-08,1
1275-E+15,40,812,2,2020-08-08,1
1275-E+30,40,488,2,2020-08-08,1
1275-E+5,40,781,2,2020-08-08,1
1280-EC,40,434,2,2020-08-08,1
1280-EC+15,40,945,2,2020-08-08,1
1280-EC+30,40,1062,2,2020-08-08,1
1280-EC+5,40,891,2,2020-08-08,1
1281-EC,40,431,2,2020-08-08,1
1286-ECB 0.4,40,1336,2,2020-08-08,1
1286-ECB 0.8,40,1336,2,2020-08-08,1
1286-ECB STD,40,1336,2,2020-08-08,1
1287-ECP,40,791,2,2020-08-08,1
1291-ECP,40,445,2,2020-08-08,1
1291-ECP+10,40,915,2,2020-08-08,1
1291-ECP+15,40,979,2,2020-08-08,1
1291-ECP+3,40,925,2,2020-08-08,1
1291-ECP+5,40,679,2,2020-08-08,1
1292-EC,40,362,2,2020-08-08,1
1292-EGX,40,862,2,2020-08-08,1
1294-E,40,379,2,2020-08-08,1
1297-EC,40,438,2,2020-08-08,1
1297-EC+10,40,803,2,2020-08-08,1
1297-EC+15,40,803,2,2020-08-08,1
1297-EC+30,40,919,2,2020-08-08,1
1297-EC+5,40,452,2,2020-08-08,1
1303-EC,40,394,2,2020-08-08,1
1305-ECP,40,426,2,2020-08-08,1
1310-ECB,40,881,2,2020-08-08,1
1310-ECB+10,40,516,2,2020-08-08,1
1310-ECB+5,40,937,2,2020-08-08,1
1313-ECP,40,1415,2,2020-08-08,1
1314-ECP,40,549,2,2020-08-08,1
1315-ECPS,40,1248,2,2020-08-08,1
1321-E,40,890,2,2020-08-08,1
1329-E,40,507,2,2020-08-08,1
1329-E+15,40,1158,2,2020-08-08,1
1329-E+3,40,1017,2,2020-08-08,1
1329-EB,40,507,2,2020-08-08,1
1330-ECP,40,614,2,2020-08-08,1
