id;codigo_articulo_proveedor;valor;fecha_costo;costo_proveedor;fecha_costo_proveedor;estado_id;tipo_repuesto_id
1;mobile Fish;77969;2020-12-22;59685;2020-12-22;1;1
2;Computer Practical Fresh Pants;60111;2020-12-22;70807;2020-12-22;2;2
3;Tasty Metal Bacon;93855;2020-12-22;77;2020-12-22;3;3
4;Soap methodology Albania;43194;2020-12-22;29122;2020-12-22;4;4
5;enable Gorgeous Frozen Pants;23277;2020-12-22;9060;2020-12-21;5;5
6;grey Cambridgeshire;59241;2020-12-22;4645;2020-12-21;6;6
7;Yuan Renminbi Centers;1326;2020-12-21;94220;2020-12-21;7;7
8;cross-platform access;9767;2020-12-22;68423;2020-12-22;8;8
9;Bahamian Dollar Investment Account;83319;2020-12-22;17336;2020-12-21;9;9
10;Digitized invoice;31171;2020-12-22;52006;2020-12-22;10;10
