id;fecha;hora_apertura;hora_cierre;saldo;observaciones;saldo_fisico
1;2019-09-18;2019-09-18T20:03:00;2019-09-18T19:25:56;94285;Money Market Account;69478
2;2019-09-18;2019-09-18T03:47:32;2019-09-18T02:36:39;62435;modular Refined Squares;21844
3;2019-09-18;2019-09-18T14:55:38;2019-09-18T03:30:08;88328;projection Fresh;35629
4;2019-09-18;2019-09-18T03:09:35;2019-09-18T22:16:56;27213;withdrawal;52
5;2019-09-18;2019-09-18T16:27:42;2019-09-18T04:15:58;30478;Hat;53408
6;2019-09-18;2019-09-18T13:17:15;2019-09-18T19:35:34;69243;encompassing;24412
7;2019-09-18;2019-09-18T20:53:04;2019-09-18T17:09:59;21876;Oklahoma facilitate;6489
8;2019-09-18;2019-09-18T18:49:46;2019-09-18T01:49:29;24687;Moroccan Dirham;71227
9;2019-09-18;2019-09-18T21:22:09;2019-09-18T18:05:14;99774;mission-critical;97661
10;2019-09-18;2019-09-18T15:03:31;2019-09-18T23:41:16;3305;ubiquitous;63435
