id;fecha;importe;descuento;observaciones;estado_id;tipo_movimiento_id;empleado_id
1;2019-09-18;48780;16068;blue scalable Car;1;1;1
2;2019-09-18;84231;8023;Andorra;2;2;2
3;2019-09-18;69696;98237;Fresh incubate Agent;3;3;3
4;2019-09-18;530;81707;Networked Fish Tanzanian Shilling;4;4;4
5;2019-09-18;71845;55676;Mississippi stable;5;5;5
6;2019-09-18;20507;18704;orchestration channels Buckinghamshire;6;6;6
7;2019-09-18;52984;11483;Auto Loan Account asymmetric Montana;7;7;7
8;2019-09-18;93201;48114;Montenegro;8;8;8
9;2019-09-18;36923;33660;Rubber Awesome Frozen Mouse;9;9;9
10;2019-09-18;68457;80987;Customer-focused;10;10;10
