id;descripcion_descuento;descuento;fecha_creacion;fecha_aceptado;fecha_entregado;importe_total;observaciones;soldadura;modelo;cliente_id;estado_presupuesto_id
1;mobile Fish;77969;2020-07-28;2020-07-28;2020-07-28;44583;Small;false;true;1;1
2;Savings Account alarm;2058;2020-07-28;2020-07-27;2020-07-28;83244;red Chips Soap;false;true;2;2
3;Grocery Home;52477;2020-07-28;2020-07-28;2020-07-28;4666;Coordinator;false;false;3;3
4;bluetooth;19967;2020-07-28;2020-07-28;2020-07-27;59241;Refined Rubber Chicken Table;false;false;4;4
5;Usability South Dakota envisioneer;1596;2020-07-28;2020-07-28;2020-07-28;24102;Bahamian Dollar Investment Account;true;false;5;5
6;Regional;25877;2020-07-28;2020-07-28;2020-07-28;31171;Costa Rica Mayotte;false;false;6;6
7;synthesizing Views e-enable;92665;2020-07-28;2020-07-28;2020-07-28;32654;Georgia;true;false;7;7
8;software scale interactive;82873;2020-07-28;2020-07-28;2020-07-27;28093;Faroe Islands Plastic;true;false;8;8
9;Industrial;42340;2020-07-28;2020-07-28;2020-07-28;29348;Jewelery;false;true;9;9
10;application quantify Unbranded Plastic Tuna;11586;2020-07-28;2020-07-28;2020-07-28;62329;archive Fantastic Plastic Chicken;false;true;10;10
